employee_id,skill_id,proficiency_level,years_of_experience
EMP0001,SKILL025,Advanced,5.2
EMP0001,SKILL013,Beginner,0.9
EMP0001,SKILL046,Intermediate,1.1
EMP0001,SKILL016,Intermediate,2.0
EMP0001,SKILL017,Intermediate,2.8
EMP0001,SKILL015,Expert,3.1
EMP0001,SKILL007,Advanced,4.5
EMP0001,SKILL021,Advanced,5.5
EMP0001,SKILL026,Beginner,1.3
EMP0002,SKILL036,Intermediate,2.0
EMP0002,SKILL045,Beginner,1.1
EMP0002,SKILL046,Intermediate,1.9
EMP0002,SKILL025,Expert,6.7
EMP0002,SKILL019,Advanced,4.2
EMP0002,SKILL037,Advanced,5.4
EMP0002,SKILL011,Advanced,5.4
EMP0002,SKILL020,Advanced,8.1
EMP0002,SKILL007,Expert,7.1
EMP0003,SKILL031,Intermediate,2.9
EMP0003,SKILL045,Advanced,6.1
EMP0003,SKILL024,Expert,6.0
EMP0003,SKILL034,Expert,5.9
EMP0003,SKILL035,Advanced,6.3
EMP0004,SKILL028,Intermediate,2.5
EMP0004,SKILL032,Intermediate,1.4
EMP0004,SKILL027,Intermediate,1.3
EMP0004,SKILL024,Advanced,3.0
EMP0004,SKILL038,Advanced,3.4
EMP0004,SKILL018,Expert,3.1
EMP0004,SKILL029,Intermediate,2.2
EMP0005,SKILL047,Advanced,4.6
EMP0005,SKILL031,Intermediate,4.1
EMP0005,SKILL045,Advanced,5.8
EMP0005,SKILL024,Expert,7.7
EMP0005,SKILL040,Expert,5.4
EMP0006,SKILL014,Advanced,3.8
EMP0006,SKILL025,Intermediate,2.7
EMP0006,SKILL026,Expert,6.5
EMP0006,SKILL032,Beginner,0.7
EMP0006,SKILL016,Advanced,3.2
EMP0007,SKILL023,Advanced,3.1
EMP0007,SKILL002,Advanced,6.4
EMP0007,SKILL014,Advanced,3.9
EMP0007,SKILL001,Advanced,4.5
EMP0007,SKILL049,Intermediate,2.8
EMP0007,SKILL044,Advanced,6.5
EMP0007,SKILL027,Advanced,5.5
EMP0007,SKILL045,Advanced,1.9
EMP0007,SKILL043,Advanced,2.0
EMP0007,SKILL025,Advanced,3.7
EMP0007,SKILL015,Advanced,4.0
EMP0007,SKILL010,Intermediate,2.9
EMP0008,SKILL036,Intermediate,2.5
EMP0008,SKILL045,Intermediate,1.1
EMP0008,SKILL020,Intermediate,1.4
EMP0008,SKILL011,Intermediate,1.5
EMP0008,SKILL019,Advanced,2.2
EMP0008,SKILL007,Beginner,0.8
EMP0008,SKILL049,Advanced,1.7
EMP0009,SKILL021,Intermediate,2.5
EMP0009,SKILL020,Expert,7.2
EMP0009,SKILL025,Advanced,2.7
EMP0009,SKILL043,Intermediate,2.0
EMP0009,SKILL027,Intermediate,2.1
EMP0009,SKILL023,Beginner,0.9
EMP0009,SKILL031,Intermediate,1.7
EMP0010,SKILL032,Intermediate,5.4
EMP0010,SKILL041,Advanced,2.1
EMP0010,SKILL024,Advanced,3.6
EMP0010,SKILL031,Expert,4.5
EMP0010,SKILL045,Intermediate,1.7
EMP0010,SKILL027,Advanced,3.3
EMP0011,SKILL020,Expert,8.5
EMP0011,SKILL021,Expert,10.2
EMP0011,SKILL042,Beginner,2.8
EMP0011,SKILL047,Intermediate,1.5
EMP0011,SKILL032,Advanced,9.0
EMP0011,SKILL043,Intermediate,1.6
EMP0011,SKILL045,Expert,6.5
EMP0011,SKILL031,Advanced,5.1
EMP0012,SKILL019,Advanced,5.5
EMP0012,SKILL011,Expert,7.6
EMP0012,SKILL007,Advanced,6.8
EMP0012,SKILL037,Expert,6.4
EMP0012,SKILL025,Intermediate,3.7
EMP0012,SKILL036,Expert,6.1
EMP0012,SKILL020,Intermediate,1.1
EMP0013,SKILL019,Advanced,4.4
EMP0013,SKILL037,Beginner,1.7
EMP0013,SKILL025,Advanced,3.1
EMP0013,SKILL020,Intermediate,3.7
EMP0013,SKILL011,Advanced,5.5
EMP0013,SKILL050,Beginner,1.9
EMP0013,SKILL045,Advanced,5.7
EMP0013,SKILL007,Advanced,3.8
EMP0014,SKILL018,Intermediate,4.8
EMP0014,SKILL050,Beginner,0.6
EMP0014,SKILL020,Advanced,3.7
EMP0014,SKILL024,Intermediate,4.4
EMP0014,SKILL028,Advanced,3.5
EMP0014,SKILL039,Expert,4.5
EMP0014,SKILL045,Intermediate,2.8
EMP0014,SKILL038,Beginner,0.8
EMP0015,SKILL020,Advanced,6.4
EMP0015,SKILL045,Advanced,5.4
EMP0015,SKILL032,Beginner,0.8
EMP0015,SKILL027,Expert,8.8
EMP0015,SKILL031,Intermediate,2.9
EMP0015,SKILL023,Advanced,3.4
EMP0015,SKILL040,Intermediate,5.4
EMP0015,SKILL046,Advanced,8.7
EMP0016,SKILL011,Expert,7.4
EMP0016,SKILL020,Beginner,2.5
EMP0016,SKILL025,Advanced,4.6
EMP0016,SKILL036,Intermediate,5.5
EMP0016,SKILL007,Advanced,2.3
EMP0016,SKILL037,Advanced,7.0
EMP0016,SKILL045,Beginner,0.9
EMP0017,SKILL029,Expert,5.1
EMP0017,SKILL031,Intermediate,1.9
EMP0017,SKILL020,Advanced,5.4
EMP0017,SKILL034,Intermediate,5.6
EMP0017,SKILL035,Advanced,3.2
EMP0017,SKILL024,Intermediate,1.7
EMP0017,SKILL033,Beginner,0.9
EMP0018,SKILL024,Advanced,1.3
EMP0018,SKILL020,Expert,6.9
EMP0018,SKILL041,Advanced,5.8
EMP0018,SKILL027,Beginner,0.8
EMP0018,SKILL040,Intermediate,3.4
EMP0018,SKILL031,Intermediate,1.8
EMP0018,SKILL049,Intermediate,2.0
EMP0019,SKILL031,Beginner,2.4
EMP0019,SKILL020,Intermediate,2.0
EMP0019,SKILL027,Intermediate,0.6
EMP0019,SKILL024,Intermediate,2.5
EMP0019,SKILL040,Intermediate,2.0
EMP0019,SKILL041,Intermediate,2.2
EMP0020,SKILL024,Intermediate,4.4
EMP0020,SKILL031,Intermediate,1.3
EMP0020,SKILL027,Advanced,6.0
EMP0020,SKILL020,Advanced,5.8
EMP0020,SKILL041,Expert,7.5
EMP0020,SKILL040,Expert,7.9
EMP0020,SKILL045,Expert,7.0
EMP0021,SKILL041,Expert,6.0
EMP0021,SKILL040,Advanced,5.6
EMP0021,SKILL020,Expert,7.5
EMP0021,SKILL027,Intermediate,0.8
EMP0021,SKILL031,Advanced,8.2
EMP0021,SKILL045,Intermediate,2.9
EMP0022,SKILL045,Intermediate,2.8
EMP0022,SKILL046,Expert,7.3
EMP0022,SKILL031,Expert,6.9
EMP0022,SKILL040,Advanced,4.3
EMP0022,SKILL041,Advanced,3.4
EMP0022,SKILL024,Expert,7.2
EMP0022,SKILL020,Expert,3.6
EMP0022,SKILL027,Expert,4.8
EMP0023,SKILL034,Intermediate,1.6
EMP0023,SKILL029,Intermediate,1.6
EMP0023,SKILL031,Advanced,6.9
EMP0023,SKILL047,Advanced,7.2
EMP0023,SKILL024,Expert,4.1
EMP0024,SKILL021,Advanced,5.5
EMP0024,SKILL042,Advanced,4.0
EMP0024,SKILL027,Advanced,5.9
EMP0024,SKILL020,Expert,3.2
EMP0024,SKILL025,Advanced,7.8
EMP0024,SKILL031,Expert,4.8
EMP0024,SKILL045,Intermediate,0.5
EMP0024,SKILL043,Intermediate,2.7
EMP0025,SKILL010,Intermediate,3.3
EMP0025,SKILL045,Advanced,5.1
EMP0025,SKILL015,Advanced,3.7
EMP0025,SKILL014,Expert,5.1
EMP0025,SKILL044,Advanced,4.7
EMP0025,SKILL043,Intermediate,3.3
EMP0025,SKILL002,Intermediate,2.0
EMP0025,SKILL011,Intermediate,1.1
EMP0025,SKILL001,Advanced,4.3
EMP0026,SKILL002,Advanced,5.3
EMP0026,SKILL007,Advanced,4.0
EMP0026,SKILL017,Advanced,5.8
EMP0026,SKILL026,Expert,8.0
EMP0026,SKILL043,Expert,6.5
EMP0026,SKILL021,Advanced,4.3
EMP0026,SKILL009,Advanced,7.3
EMP0026,SKILL010,Beginner,2.5
EMP0026,SKILL015,Advanced,3.3
EMP0026,SKILL016,Expert,9.0
EMP0026,SKILL025,Advanced,8.4
EMP0026,SKILL003,Expert,3.5
EMP0027,SKILL020,Advanced,4.6
EMP0027,SKILL024,Expert,4.1
EMP0027,SKILL046,Advanced,3.4
EMP0027,SKILL038,Intermediate,2.3
EMP0027,SKILL045,Intermediate,1.5
EMP0027,SKILL028,Intermediate,1.4
EMP0027,SKILL018,Expert,3.9
EMP0027,SKILL029,Advanced,1.6
EMP0028,SKILL029,Beginner,2.0
EMP0028,SKILL020,Advanced,1.0
EMP0028,SKILL035,Advanced,4.8
EMP0028,SKILL024,Advanced,6.2
EMP0028,SKILL031,Intermediate,1.3
EMP0028,SKILL034,Intermediate,2.2
EMP0028,SKILL045,Advanced,3.1
EMP0029,SKILL045,Advanced,4.7
EMP0029,SKILL024,Intermediate,1.7
EMP0029,SKILL020,Advanced,3.3
EMP0029,SKILL035,Intermediate,2.8
EMP0029,SKILL031,Advanced,4.2
EMP0029,SKILL029,Expert,6.4
EMP0029,SKILL033,Expert,3.4
EMP0030,SKILL034,Intermediate,2.5
EMP0030,SKILL035,Beginner,2.8
EMP0030,SKILL033,Advanced,3.2
EMP0030,SKILL045,Beginner,0.7
EMP0030,SKILL027,Beginner,0.8
EMP0030,SKILL029,Expert,4.0
EMP0030,SKILL020,Expert,3.7
EMP0030,SKILL031,Advanced,4.1
EMP0030,SKILL032,Intermediate,1.5
EMP0030,SKILL023,Intermediate,3.1
EMP0030,SKILL047,Expert,3.7
EMP0031,SKILL018,Beginner,0.5
EMP0031,SKILL020,Intermediate,1.1
EMP0031,SKILL038,Expert,7.7
EMP0031,SKILL024,Advanced,4.5
EMP0031,SKILL045,Advanced,4.4
EMP0031,SKILL039,Advanced,4.5
EMP0031,SKILL029,Advanced,3.7
EMP0031,SKILL028,Advanced,5.8
EMP0032,SKILL043,Expert,10.0
EMP0032,SKILL021,Intermediate,1.4
EMP0032,SKILL025,Expert,8.1
EMP0032,SKILL049,Advanced,9.6
EMP0032,SKILL001,Advanced,4.6
EMP0033,SKILL045,Intermediate,4.9
EMP0033,SKILL028,Intermediate,2.7
EMP0033,SKILL024,Intermediate,1.8
EMP0033,SKILL020,Intermediate,4.7
EMP0033,SKILL038,Advanced,4.3
EMP0033,SKILL027,Advanced,5.1
EMP0033,SKILL032,Beginner,2.0
EMP0033,SKILL023,Intermediate,2.2
EMP0034,SKILL043,Advanced,1.7
EMP0034,SKILL020,Expert,7.6
EMP0034,SKILL021,Intermediate,5.3
EMP0034,SKILL027,Expert,9.2
EMP0034,SKILL045,Advanced,3.3
EMP0035,SKILL045,Intermediate,2.6
EMP0035,SKILL007,Advanced,1.0
EMP0035,SKILL048,Intermediate,4.2
EMP0035,SKILL021,Advanced,3.5
EMP0035,SKILL025,Advanced,3.7
EMP0035,SKILL011,Beginner,2.8
EMP0035,SKILL017,Intermediate,1.6
EMP0036,SKILL032,Intermediate,3.5
EMP0036,SKILL035,Expert,5.9
EMP0036,SKILL034,Advanced,1.1
EMP0036,SKILL020,Expert,8.9
EMP0036,SKILL031,Expert,5.3
EMP0036,SKILL023,Advanced,3.7
EMP0036,SKILL029,Intermediate,1.0
EMP0036,SKILL045,Expert,7.0
EMP0036,SKILL024,Advanced,5.2
EMP0036,SKILL027,Advanced,5.0
EMP0037,SKILL045,Expert,7.3
EMP0037,SKILL046,Beginner,0.8
EMP0037,SKILL024,Expert,8.7
EMP0037,SKILL020,Beginner,1.7
EMP0037,SKILL040,Expert,9.6
EMP0037,SKILL041,Advanced,4.2
EMP0037,SKILL031,Beginner,1.6
EMP0038,SKILL025,Advanced,2.4
EMP0038,SKILL036,Advanced,4.9
EMP0038,SKILL037,Expert,4.1
EMP0038,SKILL045,Expert,5.2
EMP0038,SKILL007,Intermediate,2.6
EMP0038,SKILL020,Beginner,0.9
EMP0038,SKILL048,Intermediate,3.6
EMP0038,SKILL023,Intermediate,2.6
EMP0038,SKILL019,Advanced,4.3
EMP0038,SKILL027,Advanced,1.8
EMP0038,SKILL032,Advanced,3.5
EMP0038,SKILL011,Intermediate,3.7
EMP0039,SKILL033,Advanced,5.1
EMP0039,SKILL045,Intermediate,2.2
EMP0039,SKILL034,Advanced,6.8
EMP0039,SKILL024,Intermediate,1.8
EMP0039,SKILL031,Advanced,2.6
EMP0039,SKILL035,Intermediate,0.9
EMP0039,SKILL029,Advanced,5.4
EMP0039,SKILL020,Advanced,2.5
EMP0040,SKILL025,Expert,8.7
EMP0040,SKILL037,Intermediate,2.1
EMP0040,SKILL020,Intermediate,5.5
EMP0040,SKILL045,Beginner,0.6
EMP0040,SKILL007,Beginner,2.3
EMP0040,SKILL011,Intermediate,3.0
EMP0040,SKILL019,Intermediate,2.4
EMP0041,SKILL014,Advanced,3.1
EMP0041,SKILL003,Intermediate,1.9
EMP0041,SKILL032,Intermediate,1.7
EMP0041,SKILL016,Advanced,3.3
EMP0041,SKILL023,Intermediate,2.6
EMP0041,SKILL010,Intermediate,2.3
EMP0042,SKILL045,Advanced,8.4
EMP0042,SKILL020,Advanced,10.1
EMP0042,SKILL039,Expert,10.7
EMP0042,SKILL018,Expert,6.0
EMP0042,SKILL038,Beginner,0.7
EMP0043,SKILL032,Expert,6.6
EMP0043,SKILL025,Advanced,7.1
EMP0043,SKILL037,Expert,8.6
EMP0043,SKILL027,Advanced,6.5
EMP0043,SKILL036,Intermediate,0.6
EMP0043,SKILL007,Advanced,4.2
EMP0044,SKILL021,Intermediate,5.4
EMP0044,SKILL043,Intermediate,1.0
EMP0044,SKILL013,Advanced,2.0
EMP0044,SKILL007,Advanced,5.1
EMP0044,SKILL003,Intermediate,5.6
EMP0044,SKILL011,Intermediate,1.3
EMP0044,SKILL001,Intermediate,1.1
EMP0044,SKILL017,Expert,6.3
EMP0044,SKILL014,Beginner,1.7
EMP0044,SKILL025,Advanced,3.3
EMP0044,SKILL010,Advanced,6.0
EMP0045,SKILL027,Intermediate,2.9
EMP0045,SKILL031,Intermediate,2.4
EMP0045,SKILL020,Intermediate,1.1
EMP0045,SKILL024,Beginner,1.0
EMP0045,SKILL033,Beginner,0.8
EMP0045,SKILL032,Advanced,3.3
EMP0045,SKILL029,Intermediate,2.7
EMP0045,SKILL035,Intermediate,1.1
EMP0045,SKILL023,Intermediate,3.3
EMP0045,SKILL034,Intermediate,1.6
EMP0046,SKILL036,Beginner,2.4
EMP0046,SKILL019,Beginner,2.1
EMP0046,SKILL023,Expert,4.5
EMP0046,SKILL007,Advanced,3.4
EMP0046,SKILL027,Intermediate,1.0
EMP0046,SKILL032,Beginner,1.7
EMP0046,SKILL011,Beginner,0.7
EMP0047,SKILL048,Beginner,1.8
EMP0047,SKILL028,Beginner,1.5
EMP0047,SKILL039,Beginner,0.7
EMP0047,SKILL020,Intermediate,1.8
EMP0047,SKILL023,Advanced,2.6
EMP0047,SKILL029,Intermediate,2.4
EMP0047,SKILL045,Advanced,2.4
EMP0047,SKILL032,Intermediate,2.0
EMP0047,SKILL018,Intermediate,2.5
EMP0047,SKILL027,Beginner,2.2
EMP0047,SKILL024,Beginner,2.0
EMP0048,SKILL027,Intermediate,1.9
EMP0048,SKILL021,Advanced,3.6
EMP0048,SKILL031,Expert,6.2
EMP0048,SKILL045,Advanced,5.1
EMP0048,SKILL043,Advanced,5.2
EMP0048,SKILL032,Expert,3.5
EMP0049,SKILL045,Advanced,3.2
EMP0049,SKILL035,Intermediate,2.7
EMP0049,SKILL031,Advanced,2.0
EMP0049,SKILL034,Beginner,1.6
EMP0049,SKILL024,Intermediate,3.9
EMP0049,SKILL033,Advanced,4.4
EMP0049,SKILL029,Expert,4.4
EMP0049,SKILL020,Intermediate,0.8
EMP0050,SKILL040,Intermediate,1.4
EMP0050,SKILL023,Advanced,1.6
EMP0050,SKILL024,Beginner,0.8
EMP0050,SKILL050,Expert,6.4
EMP0050,SKILL027,Intermediate,1.2
EMP0050,SKILL020,Expert,8.5
EMP0051,SKILL024,Advanced,4.3
EMP0051,SKILL045,Expert,7.5
EMP0051,SKILL032,Advanced,3.4
EMP0051,SKILL047,Advanced,10.2
EMP0051,SKILL031,Expert,8.2
EMP0051,SKILL023,Expert,5.2
EMP0051,SKILL041,Advanced,7.5
EMP0051,SKILL027,Intermediate,1.9
EMP0052,SKILL045,Advanced,3.1
EMP0052,SKILL049,Advanced,2.3
EMP0052,SKILL029,Advanced,4.2
EMP0052,SKILL028,Intermediate,1.7
EMP0052,SKILL039,Intermediate,0.8
EMP0052,SKILL027,Advanced,4.5
EMP0052,SKILL018,Intermediate,0.9
EMP0052,SKILL020,Advanced,4.0
EMP0052,SKILL023,Advanced,3.2
EMP0052,SKILL024,Intermediate,2.3
EMP0052,SKILL032,Beginner,2.6
EMP0052,SKILL038,Advanced,3.1
EMP0053,SKILL017,Beginner,1.2
EMP0053,SKILL021,Expert,3.6
EMP0053,SKILL010,Intermediate,1.5
EMP0053,SKILL025,Advanced,4.8
EMP0053,SKILL009,Intermediate,5.0
EMP0053,SKILL011,Intermediate,3.5
EMP0053,SKILL026,Beginner,0.7
EMP0053,SKILL013,Advanced,1.7
EMP0054,SKILL033,Expert,6.2
EMP0054,SKILL045,Expert,7.5
EMP0054,SKILL035,Advanced,3.2
EMP0054,SKILL024,Expert,7.0
EMP0054,SKILL029,Expert,6.9
EMP0054,SKILL034,Advanced,4.6
EMP0054,SKILL031,Intermediate,3.1
EMP0055,SKILL040,Intermediate,1.3
EMP0055,SKILL045,Beginner,0.8
EMP0055,SKILL041,Intermediate,0.9
