campaign_id,po_id
ADIDAS_BF_001,PO-b25e4545d7
ADIDAS_BF_001,PO-0b301ec1fe
ADIDAS_BF_001,PO-127b87fb6e
ADIDAS_BF_001,PO-9c5ccbe27d
ADIDAS_BF_001,PO-9c8f433210
ADIDAS_BF_001,PO-2edab5ee7f
ADIDAS_BF_001,PO-6abdb65dd8
ADIDAS_BF_001,PO-523a6c87ed
ADIDAS_BF_001,PO-0787f10e96
ADIDAS_BF_001,PO-5f69ec9b63
ADIDAS_BF_001,PO-6126198f52
ADIDAS_BF_001,PO-8ab545b646
ADIDAS_BF_001,PO-c6c24ea147
ADIDAS_BF_001,PO-af0a0022f2
ADIDAS_BF_001,PO-4b8d8baaaf
ADIDAS_LRC_001,PO-686f0ca6c3
ADIDAS_LRC_001,PO-01dc7131f2
ADIDAS_LRC_001,PO-77fc8b896c
ADIDAS_LRC_001,PO-0ac3c8ba7e
ADIDAS_LRC_001,PO-56df77d5a7
ADIDAS_LRC_001,PO-e828c38b8f
ADIDAS_LRC_001,PO-ce9b8cce08
ADIDAS_LRC_001,PO-111f794418
ADIDAS_LRC_001,PO-188f138983
ADIDAS_LRC_001,PO-df87b7ff21
ADIDAS_LRC_001,PO-2bf421576c
ADIDAS_LRC_001,PO-3c44b73c5e
ADIDAS_LRC_001,PO-5760c1effe
ADIDAS_LRC_001,PO-3f40027460
ADIDAS_LRC_001,PO-6e609d0a48
ADIDAS_LRC_001,PO-f5115fe60c
ADIDAS_LRC_001,PO-92595edd27
ADIDAS_OCR_2024_001,PO-6b258f4de0
ADIDAS_OCR_2024_001,PO-d1aa1dbd9e
ADIDAS_OCR_ROAS_001,PO-219d27816a
ADIDAS_OCR_ROAS_001,PO-dff797de8d
ADIDAS_OCR_2024_001,PO-e7bd42f5ab
ADIDAS_UL_001,PO-c724c266e6
ADIDAS_UL_001,PO-416e573a07
ADIDAS_UL_001,PO-9611ee3968
ADIDAS_UL_001,PO-548f3a245b
ADIDAS_UL_001,PO-ed891e1fb1
ADIDAS_UL_001,PO-a2b7bbe8b9
ADIDAS_UL_001,PO-a8e6f82b31
ADIDAS_UL_001,PO-28ee6a579d
ADIDAS_INF_001,PO-293d1fc337
ADIDAS_INF_001,PO-222030aa8e
ADIDAS_INF_001,PO-5cf2b0c316
ADIDAS_INF_001,PO-00e4036620
ADIDAS_INF_001,PO-877c2dd77e
ADIDAS_SS_ROAS_001,PO-707d436b76
ADIDAS_SS_ROAS_001,PO-8fb29c0f71
ADIDAS_SS_ROAS_001,PO-cf2254b8a5
ADIDAS_SS_ROAS_001,PO-53fa254c85
ADIDAS_SS_ROAS_001,PO-0de2d11e78
ADIDAS_SS_ROAS_001,PO-d036865644
ADIDAS_SS_ROAS_001,PO-c042423ac8
ADIDAS_SS_ROAS_001,PO-a376078a32
ADIDAS_SS_ROAS_001,PO-cd5f551e84
ADIDAS_SS_ROAS_001,PO-175ba3d76d
ADIDAS_SS_ROAS_001,PO-edb1e3ed59
DY_V15_2024_001,PO-1a63c9ba8b
DY_V15_2024_001,PO-2503116ecb
DY_V15_2024_001,PO-fabd105eda
DY_V15_2024_001,PO-8422f5d74a
DY_V15_2024_001,PO-f0bae575fb
DY_V15_2024_001,PO-bb37e81026
DY_V15_2024_001,PO-2dd80e4f06
DY_V15_2024_001,PO-959c5de7c6
DY_V15_2024_001,PO-22329b8635
DY_V15_2024_001,PO-01ad292aff
DY_V15_2024_001,PO-b6286a52cf
DY_V15_2024_001,PO-b5b88d6f49
DY_V15_2024_001,PO-e409fb1093
DY_B2S_2024_001,PO-0027c94959
DY_B2S_2024_001,PO-3ca5943ae8
DY_B2S_2024_001,PO-ba03d44731
DY_B2S_2024_001,PO-257d9056af
DY_B2S_2024_001,PO-e9f37aeacc
DY_B2S_2024_001,PO-c8135520ba
DY_B2S_2024_001,PO-18355022e8
DY_B2S_2024_001,PO-85421903c0
DY_B2S_2024_001,PO-ec9118604a
