market,company,team,campaign_id,campaign_name,hero_product,product_line,objective,month,start_date,end_date,status, budget_EUR , actual_spend_EUR ,channel,media_platform,Retargeting,billing_type, billing_unit_cost , impressions , clicks , ctr , views , vtr , sessions , conversions , conversion_rate , AOV , reach ,grp, frequency , dooh_impressions , revenue , roas 
DE,Adidas,Brand Offline,adi_012025_006,New Year OOH/DOOH City Takeover,Brand_Film_General,Brand,consideration,1,2025-01-05,2025-01-30,pause,"283,873","240,570",DOOH,JCDecaux,,CPM,18, - , - , - , - , - , - , - , - , - ,"4,100,000",0,1.5,"14,800,000","298,657",1.24
DE,Adidas,Brand Offline,adi_012025_006,New Year OOH/DOOH City Takeover,Brand_Film_General,Brand,consideration,1,2025-01-05,2025-01-30,pause,"662,369","561,330",OOH,Stroeer,,flat,5000, - , - , - , - , - , - , - , - , - ,"6,900,000",0,1.8,,"631,241",1.12
DE,Adidas,Brand Offline,adi_012025_004,New Year Brand TVC,Brand_Film_General,Brand,consideration,1,2025-01-03,2025-01-24,pause,"1,214,344","1,029,105",TVC,RTL,,CPM,18, - , - , - , - , - , - , - , - , - ,"15,200,000",320,3,,"1,039,500",1.01
DE,Adidas,Brand Offline,adi_012025_004,New Year Brand TVC,Brand_Film_General,Brand,consideration,1,2025-01-03,2025-01-24,pause,"993,554","841,995",TVC,ProSieben,,CPM,18, - , - , - , - , - , - , - , - , - ,"12,800,000",270,2.8,,"849,780",1
DE,Adidas,Digital Brand,adi_012025_005,New Year Lifestyle Content Push,Brand_Film_General,Brand,awareness,1,2025-01-08,2025-01-26,pause,"280,368","237,600",SOCIAL,Instagram,,CPC,0.42,"2,100,000","23,100",0.011, - , - ,"99,000","1,383",0.0066,52, - ,0, - ,,"802,720",3.38
DE,Adidas,Digital Brand,adi_012025_005,New Year Lifestyle Content Push,Brand_Film_General,Brand,awareness,1,2025-01-08,2025-01-26,pause,"112,147","95,040",SOCIAL,Facebook,,CPC,0.3,"890,000","7,685",0.009, - , - ,"40,500",480,0.0061,50, - ,0, - ,,"309,841",3.26
DE,Adidas,Digital Brand,adi_012025_003,New Year Brand Social Video,Brand_Film_General,Brand,awareness,1,2025-01-05,2025-01-28,pause,"504,662","427,680",VIDEO,YouTube,,CPC,0.6,"5,200,000","17,700",0.003,"3,050,000",0.39,"84,500",790,0.0093,55, - ,0, - ,,"1,376,240",3.22
DE,Adidas,Digital Brand,adi_012025_003,New Year Brand Social Video,Brand_Film_General,Brand,awareness,1,2025-01-05,2025-01-28,pause,"210,276","178,200",VIDEO,Instagram,,CPC,0.45,"2,380,000","16,800",0.007,"2,100,000",0.36,"51,500",521,0.0101,51, - ,0, - ,,"546,781",3.07
DE,Adidas,Digital Brand,adi_012025_005,New Year Lifestyle Content Push,Brand_Film_General,Brand,awareness,1,2025-01-08,2025-01-26,pause,"168,221","142,560",VIDEO,TikTok,,CPC,0.35,"3,100,000","11,200",0.004,"2,480,000",0.33,"36,000",508,0.0141,47, - ,0, - ,,"401,237",2.81
DE,Adidas,Digital Brand,adi_012025_003,New Year Brand Social Video,Brand_Film_General,Brand,awareness,1,2025-01-05,2025-01-28,pause,"126,166","106,920",VIDEO,TikTok,,CPC,0.3,"1,880,000","8,450",0.005,"1,450,000",0.36,"29,500",392,0.0133,46, - ,0, - ,,"301,299",2.82
DE,Adidas,Digital Performance,adi_012025_007,New Year Running Performance Push,Adizero SL,Running,conversion,1,2025-01-10,2025-01-25,pause,"140,184","118,800",DISPLAY,YouTube,Y,CPC,0.38,"2,420,000","20,300",0.008,"1,970,000",0.43,"42,100",612,0.0145,56, - ,0, - ,,"417,545",3.52
DE,Adidas,Digital Performance,adi_012025_007,New Year Running Performance Push,Adizero SL,Running,conversion,1,2025-01-10,2025-01-25,pause,"140,184","118,800",DISPLAY,Criteo,Y,CPC,0.65,"1,740,000","15,800",0.009, - , - ,"36,200",550,0.0152,55, - ,0, - ,,"391,127",3.29
DE,Adidas,Digital Performance,adi_012025_001,Always-On Search,Adizero SL,Running,conversion,1,2025-01-01,2025-01-31,pause,"1,051,380","891,000",SEM,Google,,CPC,0.55,"9,600,000","518,000",0.054, - , - ,"301,000","21,550",0.0223,70, - ,0, - ,,"4,271,560",4.8
DE,Adidas,Digital Performance,adi_012025_007,New Year Running Performance Push,Adizero SL,Running,conversion,1,2025-01-10,2025-01-25,pause,"420,552","356,400",SOCIAL,Meta,Y,CPC,0.42,"3,860,000","40,200",0.01, - , - ,"120,000","2,430",0.0202,58, - ,0, - ,,"1,435,420",4.03
DE,Adidas,Retail Marketing,adi_012025_008,Winter Clearance Digital Promo,Multi_Products,Multi_Products,conversion,1,2025-01-10,2025-01-12,pause,"420,552","356,400",EMAIL,Salesforce,,flat,20000, - ,"9,400",0.188, - , - ,"7,800",870,0.111,45, - ,0, - ,,"1,870,240",5.25
DE,Adidas,Retail Marketing,adi_012025_008,Winter Clearance Digital Promo,Multi_Products,Multi_Products,conversion,1,2025-01-10,2025-01-12,pause,"140,184","118,800",SOCIAL,Meta,Y,CPC,0.42,"970,000","11,000",0.011, - , - ,"31,200",520,0.0166,49, - ,0, - ,,"512,340",4.31
DE,Adidas,Retail Marketing,adi_012025_008,Winter Clearance Digital Promo,Multi_Products,Multi_Products,conversion,1,2025-01-10,2025-01-12,pause,"140,184","118,800",SOCIAL,Meta,,CPC,0.45,"660,000","7,120",0.011, - , - ,"21,000",350,0.0167,44, - ,0, - ,,"429,373",3.61
DE,Adidas,Brand Offline,adi_022025_009,Pre-Spring DOOH,Brand_Film_General,Brand,consideration,2,2025-02-03,2025-02-23,completed,"310,500","310,500",DOOH,JCDecaux,,CPM,18, - , - , - , - , - , - , - , - , - ,"5,200,000",0,1.6,"22,000,000","685,292",2.21
DE,Adidas,Brand Offline,CMP_022025_017,Pre-Spring OOH,Brand_Film_General,Brand,consideration,2,2025-02-03,2025-02-23,completed,"310,500","310,500",OOH,Stroeer,,CPM,8, - , - , - , - , - , - , - , - , - ,"6,800,000",0,1.8,,"670,823",2.16
DE,Adidas,Brand Offline,CMP_022025_016,Pre-Spring Brand Spot,Brand_Film_General,Brand,consideration,2,2025-02-03,2025-02-23,completed,"310,500","310,500",VIDEO,RTL,,CPM,25, - , - , - , - , - , - , - , - , - ,"7,500,000",150,2.4,,"776,163",2.5
DE,Adidas,CRM,adi_022025_005,CRM Activation,Multi_Products,Multi_Products,conversion,2,2025-02-01,2025-02-28,completed,"138,000","138,000",EMAIL,Salesforce,Y,CPC,0.28, - ,"12,500",0.091, - , - ,"8,200",980,0.119,50, - ,0, - ,,"2,627,726",19.04
DE,Adidas,CRM,adi_022025_005,CRM Activation,Multi_Products,Multi_Products,conversion,2,2025-02-01,2025-02-28,completed,"138,000","138,000",SOCIAL,Instagram,Y,CPC,0.74,"744,000","6,500",0.009, - , - ,"29,500",350,0.0118,48, - ,0, - ,,"1,528,596",11.08
DE,Adidas,CRM,adi_022025_005,CRM Activation,Multi_Products,Multi_Products,conversion,2,2025-02-01,2025-02-28,completed,"138,000","138,000",SOCIAL,Facebook,Y,CPC,0.5,"602,000","4,900",0.008, - , - ,"21,000",270,0.0128,46, - ,0, - ,,"1,091,413",7.91
DE,Adidas,Digital Brand,adi_022025_007,Lifestyle Social Video,Brand_Film_General,Brand,awareness,2,2025-02-01,2025-02-28,completed,"172,500","172,500",SOCIAL,Instagram,,CPC,0.74,"1,860,000","17,600",0.01, - , - ,"70,800",610,0.0086,49, - ,0, - ,,"1,082,731",6.28
DE,Adidas,Digital Brand,adi_022025_014,Women Training Social Video,Adizero SL,Running,awareness,2,2025-02-01,2025-02-20,completed,"172,500","172,500",SOCIAL,Instagram,,CPC,0.74,"1,930,000","18,000",0.009, - , - ,"73,500",618,0.0084,47, - ,0, - ,,"981,828",5.69
DE,Adidas,Digital Brand,adi_022025_010,Pre-Spring Brand Push,Brand_Film_General,Brand,awareness,2,2025-02-01,2025-02-28,completed,"172,500","172,500",SOCIAL,Instagram,,CPC,0.74,"1,760,000","16,500",0.009, - , - ,"69,800",585,0.0084,48, - ,0, - ,,"970,445",5.63
DE,Adidas,Digital Brand,adi_022025_007,Lifestyle Social Video,Brand_Film_General,Brand,awareness,2,2025-02-01,2025-02-28,completed,"172,500","172,500",VIDEO,YouTube,,CPV,0.06,"4,950,000","16,200",0.003,"3,120,000",0.39,"64,000",480,0.0075,52, - ,0, - ,,"820,537",4.76
DE,Adidas,Digital Brand,adi_022025_007,Lifestyle Social Video,Brand_Film_General,Brand,awareness,2,2025-02-01,2025-02-28,completed,"172,500","172,500",VIDEO,TikTok,,CPC,0.4,"2,980,000","10,700",0.004,"2,250,000",0.35,"42,500",345,0.0081,45, - ,0, - ,,"677,382",3.93
DE,Adidas,Digital Brand,adi_022025_014,Women Training Social Video,Adizero SL,Running,awareness,2,2025-02-01,2025-02-20,completed,"172,500","172,500",VIDEO,YouTube,,CPV,0.05,"5,410,000","17,800",0.003,"3,180,000",0.38,"68,200",515,0.0075,50, - ,0, - ,,"847,162",4.91
DE,Adidas,Digital Brand,adi_022025_014,Women Training Social Video,Adizero SL,Running,awareness,2,2025-02-01,2025-02-20,completed,"172,500","172,500",VIDEO,TikTok,,CPC,0.4,"3,140,000","11,500",0.004,"2,400,000",0.36,"45,700",370,0.0081,46, - ,0, - ,,"648,250",3.76
DE,Adidas,Digital Brand,adi_022025_010,Pre-Spring Brand Push,Brand_Film_General,Brand,awareness,2,2025-02-01,2025-02-28,completed,"172,500","172,500",VIDEO,YouTube,,CPV,0.07,"5,150,000","16,400",0.003,"2,920,000",0.38,"65,000",495,0.0076,51, - ,0, - ,,"830,377",4.81
