market,company,team,campaign_id,campaign_name,hero_product,product_line,objective,month,start_date,end_date,status,currency,budget,actual_spend,channel,media_platform,Retargeting,billing_type, billing_unit_cost , impressions , clicks ,  ctr  , views ,  vtr  ,  sessions  ,  conversions  ,  conversion_rate  , aov , reach , grp , frequency ,  revenue  ,  roas  
DE,Adidas,Brand Offline,adi_012025_006,New Year OOH/DOOH City Takeover,General,General,consideration,1,2025-01-05,2025-01-30,pause,EUR,"283,873","240,570",OOH,JCDecaux,,CPM,18,"14,800,000",,,,,,,,,"4,100,000",,1.5," 298,657 ", 1.2 
DE,Adidas,Brand Offline,adi_012025_006,New Year OOH/DOOH City Takeover,General,General,consideration,1,2025-01-05,2025-01-30,pause,EUR,"662,369","561,330",OOH,Stroeer,,flat,5000,,,,,,,,,,"6,900,000",,1.8," 631,241 ", 1.1 
DE,Adidas,Brand Offline,adi_012025_004,New Year Brand TVC,General,General,consideration,1,2025-01-03,2025-01-24,pause,EUR,"1,214,344","1,029,105",TV,RTL,,CPM,18,,,,,,,,,,"15,200,000",320,3," 1,039,500 ", 1.0 
DE,Adidas,Brand Offline,adi_012025_004,New Year Brand TVC,General,General,consideration,1,2025-01-03,2025-01-24,pause,EUR,"993,554","841,995",TV,ProSieben,,CPM,18,,,,,,,,,,"12,800,000",270,2.8," 849,780 ", 1.0 
DE,Adidas,Digital Brand,adi_012025_005,New Year Lifestyle Content Push,General,General,awareness,1,2025-01-08,2025-01-26,pause,EUR,"280,368","237,600",SOCIAL,Instagram,,CPC,0.42,"2,100,000","23,100", 0.0110 ,,," 49,500 ", 692 , 0.0140 , 90 ,,,," 62,514 ", 0.3 
DE,Adidas,Digital Brand,adi_012025_005,New Year Lifestyle Content Push,General,General,awareness,1,2025-01-08,2025-01-26,pause,EUR,"112,147","95,040",SOCIAL,Facebook,,CPC,0.3,"890,000","7,685", 0.0086 ,,," 20,250 ", 240 , 0.0119 , 87 ,,,," 20,988 ", 0.2 
DE,Adidas,Digital Brand,adi_012025_003,New Year Brand Social Video,General,General,awareness,1,2025-01-05,2025-01-28,pause,EUR,"504,662","427,680",DISPLAY,YouTube,,CPC,0.6,"5,200,000","17,700", 0.0034 ,"3,050,000", 0.5865 ," 42,250 ", 395 , 0.0093 , 88 ,,,," 34,587 ", 0.1 
DE,Adidas,Digital Brand,adi_012025_003,New Year Brand Social Video,General,General,awareness,1,2025-01-05,2025-01-28,pause,EUR,"210,276","178,200",DISPLAY,Instagram,,CPC,0.45,"2,380,000","16,800", 0.0071 ,"2,100,000", 0.8824 ," 25,750 ", 261 , 0.0101 , 96 ,,,," 24,927 ", 0.1 
DE,Adidas,Digital Brand,adi_012025_005,New Year Lifestyle Content Push,General,General,awareness,1,2025-01-08,2025-01-26,pause,EUR,"168,221","142,560",DISPLAY,TikTok,,CPC,0.35,"3,100,000","11,200", 0.0036 ,"2,480,000", 0.8000 ," 18,000 ", 254 , 0.0141 , 92 ,,,," 23,260 ", 0.2 
DE,Adidas,Digital Brand,adi_012025_003,New Year Brand Social Video,General,General,awareness,1,2025-01-05,2025-01-28,pause,EUR,"126,166","106,920",DISPLAY,TikTok,,CPC,0.3,"1,880,000","8,450", 0.0045 ,"1,450,000", 0.7713 ," 14,750 ", 196 , 0.0133 , 96 ,,,," 18,879 ", 0.2 
DE,Adidas,Digital Performance,adi_012025_007,New Year Running Performance Push,Adizero SL,Running,conversion,1,2025-01-10,2025-01-25,pause,EUR,"140,184","118,800",DISPLAY,YouTube,Y,CPC,0.38,"2,420,000","20,300", 0.0084 ,"1,970,000", 0.8140 ," 23,970 ", 348 , 0.0145 , 88 ,,,," 30,691 ", 0.2 
DE,Adidas,Digital Performance,adi_012025_007,New Year Running Performance Push,Adizero SL,Running,conversion,1,2025-01-10,2025-01-25,pause,EUR,"140,184","118,800",DISPLAY,Criteo,Y,CPC,0.65,"1,740,000","15,800", 0.0091 ,,," 19,486 ", 296 , 0.0152 , 92 ,,,," 27,114 ", 0.1 
DE,Adidas,Digital Performance,adi_012025_001,Always-On Search,Adizero SL,Running,conversion,1,2025-01-01,2025-01-31,pause,EUR,"1,051,380","891,000",SEM,Google,,CPC,0.55,"9,600,000","1,620,000", 0.1688 ,,," 2,533,056 "," 105,234 ", 0.0415 , 89 ,,,," 9,391,603 ", 11.1 
