invoiceNumber,po_id,amount,issue_date,due_date,paid_date,status,late_payment_flag,supplierReference,glAccount,costCenter,invoiceText,postingDate
INV-2f802436,PO-0027c94959,38.19,2024-09-07T04:09:41,2024-12-06T04:09:41,2024-12-02T04:09:41,paid,False,3198733751836,GL-1025,CC-MKT-DY_B2S_2024_001,Invoice for PO PO-0027c94959,2024-09-14 04:09:41
INV-a671aca0,PO-0027c94959,42.44,2024-09-10T04:09:41,2024-12-09T04:09:41,2024-12-02T04:09:41,paid,False,3796764354646,GL-1085,CC-MKT-DY_B2S_2024_001,Invoice for PO PO-0027c94959,2024-09-20 04:09:41
INV-578cff7f,PO-00748499ca,2742.66,2024-06-16T15:26:53,2024-09-14T15:26:53,2024-09-13T15:26:53,paid,False,1343069393164,GL-1093,CC-MKT-EM_UPG_2024_001,Invoice for PO PO-00748499ca,2024-06-20 15:26:53
INV-84dc3af8,PO-00748499ca,3257.34,2024-06-16T15:26:53,2024-09-14T15:26:53,2024-09-07T15:26:53,paid,False,7194595517708,GL-1151,CC-MKT-EM_UPG_2024_001,Invoice for PO PO-00748499ca,2024-06-20 15:26:53
INV-57fca78e,PO-009174a006,1090.86,2024-04-22T17:05:28,2024-06-21T17:05:28,2024-06-07T17:05:28,paid,False,3479462672044,GL-1177,CC-MKT-NS_GG_2024_001,Invoice for PO PO-009174a006,2024-04-25 17:05:28
INV-bdaced69,PO-00be49fb81,1661.26,2025-07-26T20:43:06,2025-10-24T20:43:06,2025-10-21T20:43:06,paid,False,6932103550325,GL-1162,CC-140,Invoice for PO PO-00be49fb81,2025-07-29 20:43:06
INV-4d743366,PO-00be49fb81,1459.32,2025-07-22T20:43:06,2025-10-20T20:43:06,2025-10-14T20:43:06,paid,False,4851643063954,GL-1105,CC-140,Invoice for PO PO-00be49fb81,2025-07-23 20:43:06
INV-14d47923,PO-00e4036620,557.26,2024-05-28T20:35:59,2024-08-26T20:35:59,2024-08-20T20:35:59,paid,False,5988480275031,GL-1198,CC-MKT-ADIDAS_INF_001,Invoice for PO PO-00e4036620,2024-06-01 20:35:59
INV-65b6291a,PO-0136c5c2d9,893.88,2024-03-08T07:28:53,2024-05-07T07:28:53,2024-05-30T07:28:53,paid,True,9928993538090,GL-1044,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-0136c5c2d9,2024-03-13 07:28:53
INV-c45ddc30,PO-0136c5c2d9,1027.54,2024-03-07T07:28:53,2024-05-06T07:28:53,2024-04-26T07:28:53,paid,False,4518241562707,GL-1187,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-0136c5c2d9,2024-03-13 07:28:53
INV-805bb455,PO-0136c5c2d9,961.2,2024-03-07T07:28:53,2024-05-06T07:28:53,2024-04-28T07:28:53,paid,False,8160867318358,GL-1198,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-0136c5c2d9,2024-03-14 07:28:53
INV-5c3904b2,PO-013ffb09a5,1706.33,2024-03-29T08:26:40,2024-04-28T08:26:40,2024-04-23T08:26:40,paid,False,8914853479130,GL-1181,CC-MKT-EL_DWR_2024_001,Invoice for PO PO-013ffb09a5,2024-03-30 08:26:40
INV-5c689af5,PO-013ffb09a5,1935.07,2024-03-28T08:26:40,2024-04-27T08:26:40,2024-04-21T08:26:40,paid,False,2262800997814,GL-1131,CC-MKT-EL_DWR_2024_001,Invoice for PO PO-013ffb09a5,2024-04-05 08:26:40
INV-cd2cbbe3,PO-01740dced5,446.01,2024-11-14T17:14:57,2024-12-14T17:14:57,2024-12-02T17:14:57,paid,False,6758057984401,GL-1004,CC-MKT-DY_HOL_2024_001,Invoice for PO PO-01740dced5,2024-11-15 17:14:57
INV-e8134ee1,PO-01a658065b,975.74,2024-06-17T17:40:36,2024-07-17T17:40:36,2024-07-02T17:40:36,paid,False,2055411268165,GL-1032,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-01a658065b,2024-06-27 17:40:36
INV-6b1ddf8e,PO-01a658065b,1024.26,2024-06-17T17:40:36,2024-07-17T17:40:36,2024-07-03T17:40:36,paid,False,2671955067363,GL-1155,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-01a658065b,2024-06-23 17:40:36
INV-9e8b262a,PO-01ad292aff,13140.86,2024-04-09T04:06:40,2024-06-08T04:06:40,2024-06-07T04:06:40,paid,False,7100824287342,GL-1034,CC-MKT-DY_V15_2024_001,Invoice for PO PO-01ad292aff,2024-04-10 04:06:40
INV-a080e8e4,PO-01ad292aff,12451.5,2024-04-06T04:06:40,2024-06-05T04:06:40,2024-05-25T04:06:40,paid,False,8725993443680,GL-1097,CC-MKT-DY_V15_2024_001,Invoice for PO PO-01ad292aff,2024-04-11 04:06:40
