riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-1fd7d4f0,SUP-bfec959a,Country Risk,0.0,Country Risk for supplier SUP-bfec959a is 0.,Implement robust monitoring systems to continuously assess the stability of operations in regions where suppliers operate.,Active
RISK-b6e1f891,SUP-bfec959a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-bfec959a is 0.,Implement dual sourcing strategy to reduce reliance on single suppliers.,Active
RISK-6f74bcf2,SUP-bfec959a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-bfec959a is 0.,Conduct quarterly credit assessments and maintain a diversified portfolio to mitigate financial health risks.,Active
RISK-a0b13a17,SUP-bfec959a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-bfec959a is 0.,Implement real-time spend monitoring to detect and address concentration risks promptly.,Active
RISK-83c44d09,SUP-679fa8e7,Country Risk,0.0,Country Risk for supplier SUP-679fa8e7 is 0.,Conduct regular due diligence on the country's regulatory environment to ensure compliance and mitigate potential risks.,Active
RISK-e2dc945a,SUP-679fa8e7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-679fa8e7 is 0.,Diversify the supplier base to reduce dependency on any single source.,Active
RISK-c06c048e,SUP-679fa8e7,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-679fa8e7 is 0.,Conduct regular financial health assessments and diversify supply sources to reduce financial risks.,Active
RISK-341e5693,SUP-679fa8e7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-679fa8e7 is 0.,Implement real-time spend monitoring and set up automated alerts for any deviations exceeding pre-defined thresholds.,Active
RISK-dfa7a879,SUP-0f1b4421,Country Risk,0.0,Country Risk for supplier SUP-0f1b4421 is 0.,Conduct regular political stability assessments in the country to identify potential risks.,Active
RISK-06f50236,SUP-0f1b4421,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-0f1b4421 is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-088968b7,SUP-0f1b4421,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-0f1b4421 is 0.,Monitor supplier's financial health regularly through credit reports and cash flow analysis to ensure stability.,Active
RISK-59c47820,SUP-0f1b4421,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-0f1b4421 is 0.,Diversify supplier base to reduce spend concentration risk.,Active
RISK-9672c635,SUP-b9a85495,Country Risk,0.0,Country Risk for supplier SUP-b9a85495 is 0.,Conduct regular security audits and implement robust data protection measures to reduce country risk exposure.,Active
RISK-41221d19,SUP-b9a85495,Single Sourcing Risk,40.0,Single Sourcing Risk for supplier SUP-b9a85495 is 40.0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-0895efa3,SUP-b9a85495,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-b9a85495 is 25.,Conduct quarterly financial health reviews and establish credit limits based on historical payment data to manage financial health risks effectively.,Active
RISK-e7d595d5,SUP-b9a85495,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b9a85495 is 0.,Implement a diversified supplier base to reduce concentration risks in procurement.,Active
RISK-68fb8b32,SUP-4ef9bdb9,Country Risk,30.0,Country Risk for supplier SUP-4ef9bdb9 is 30.,Develop a contingency plan.,Active
RISK-7b6ddd62,SUP-4ef9bdb9,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4ef9bdb9 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-65c31014,SUP-4ef9bdb9,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-4ef9bdb9 is 10.,Conduct quarterly financial health assessments and diversify supplier base to mitigate financial health risks.,Active
RISK-1651d090,SUP-4ef9bdb9,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4ef9bdb9 is 0.,Diversify suppliers to reduce reliance on any single provider.,Active
RISK-71edb7e1,SUP-2effe0e0,Country Risk,15.0,Country Risk for supplier SUP-2effe0e0 is 15.,Conduct regular assessments to ensure compliance with local regulations and enhance transparency in supply chains.,Active
RISK-34e60f47,SUP-2effe0e0,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-2effe0e0 is 0.,Diversify supply base to reduce dependency on single suppliers.,Active
RISK-01caf0cd,SUP-2effe0e0,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-2effe0e0 is 0.,Conduct quarterly financial health reviews and maintain diversified supplier base to mitigate potential financial risks.,Active
RISK-37df332a,SUP-2effe0e0,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-2effe0e0 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-51a212c1,SUP-b3574a98,Country Risk,0.0,Country Risk for supplier SUP-b3574a98 is 0.,Maintain diversified supply chain to reduce reliance on any single country.,Active
RISK-e0e27048,SUP-b3574a98,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b3574a98 is 0.,Diversify suppliers to reduce dependency on single sources and increase resilience.,Active
RISK-91a9fb76,SUP-b3574a98,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-b3574a98 is 25.,Conduct quarterly credit assessments and diversify supplier base to mitigate financial health risks.,Active
RISK-26de06c3,SUP-b3574a98,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b3574a98 is 0.,Diversify spending across multiple suppliers to reduce concentration risk.,Active
RISK-154931b0,SUP-b5b28536,Country Risk,15.0,Country Risk for supplier SUP-b5b28536 is 15.,Conduct regular due diligence on suppliers based in countries scoring above 15 to ensure compliance with ethical standards and legal regulations.,Active
RISK-6f53b2ec,SUP-b5b28536,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b5b28536 is 0.,Develop a contingency plan.,Active
