vendorCode,legalName,category_L1,category_L2,category_L3,category_L4,address,country,contactPerson,isActive,financialHealth,paymentTerms,masterContractId,lastAnnualRevenue,riskScore
SUP-bfec959a,SecureGuard Solutions Ltd.,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring,"08965 Krūmiņa Walks Apt. 025 West Sapaland, NV 19435",Latvia,Anna Petrova,True,Low,Net 90,CTR-c3ead9c037,0.0,0.0
SUP-679fa8e7,Lelucom Télécoms,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Telecommunications (Mobile, Fixed Line, Internet)","69, avenue Fischer 97222 Moreno-sur-Lelièvre",Luxembourg,Marie Dubois,True,Low,Net 30,CTR-1ab6d9e89b,0.0,0.0
SUP-0f1b4421,Lithuania Digital Marketing Solutions,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Digital Marketing & SEO/SEM,"9974 Edvardas Tunnel Suite 964 Lake Aivarasbury, MD 90331",Lithuania,Jane Smith,False,Low,Net 90,CTR-421da1eb04,81703.35,0.0
SUP-b9a85495,Precision Machined Parts Romania,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts,"Aleea Anamaria Ababei Nr. 37 Bl. 63  Sc. 35 Ap. 453 Dancu, 933952",Romania,Ana Maria Popa,True,High,Net 60,CTR-c686910358,40600.95,65.0
SUP-4ef9bdb9,China Pacific Freight Solutions,Indirect Services and Materials,Logistics,Transportation & Freight,Freight Forwarding & Customs Brokerage,山西省嘉禾县上街汕尾路n座 714899,China,Li Wei,True,Medium,Net 90,,21857.79,40.0
SUP-2effe0e0,Global Insights Analytics GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,Competitor Intelligence Services,Harro-Hendriks-Allee 8 93724 Mettmann,Germany,Anna Müller,True,Low,Net 90,CTR-647fcb0db1,63525.33,15.0
SUP-b3574a98,Sustainable Energy Solutions PT,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Energy Management & Sustainability Services,"Praça de Vasco da Gama, 71 1751-850 Lagoa",Portugal,Ana Maria Santos,False,High,Net 60,CTR-15bda84884,0.0,25.0
SUP-b5b28536,PostPro Solutions GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Mail & Document Management,Seipstr. 69-16 74977 Gardelegen,Germany,Anna Müller,True,Medium,Net 30,CTR-84db50ab69,0.0,25.0
SUP-d1ed6096,Grünzuer Terrassen GmbH,Indirect Services and Materials,Facility Services,Facility Management,Landscaping & Groundskeeping,Trubring 44-50 44350 Bad Freienwalde,Germany,Anna Müller,True,Low,Net 90,CTR-8725e2344c,0.0,15.0
SUP-f4e1cb87,Klima-Master GmbH,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC,Gudrun-Dörr-Ring 6/5 01627 Gransee,Germany,Anna Müller,True,Low,Net 60,,39376.62,15.0
