employee_id,campaign_id,role,responsibility,allocation_percentage
EMP-10020,adi_012025_006,Campaign Lead,Campaign Execution & Performance,58
EMP-10021,adi_012025_006,Budget Owner,Budget Management & ROI,15
EMP-10022,adi_012025_006,Campaign Lead,Campaign Execution & Performance,41
EMP-10005,adi_012025_006,Budget Owner,Budget Management & ROI,20
EMP-10023,adi_012025_004,Campaign Lead,Campaign Execution & Performance,63
EMP-10012,adi_012025_004,Budget Owner,Budget Management & ROI,10
EMP-10024,adi_012025_004,Campaign Lead,Campaign Execution & Performance,52
EMP-10022,adi_012025_004,Budget Owner,Budget Management & ROI,11
EMP-10020,adi_012025_005,Campaign Lead,Campaign Execution & Performance,57
EMP-10017,adi_012025_005,Budget Owner,Budget Management & ROI,10
EMP-10023,adi_012025_005,Campaign Lead,Campaign Execution & Performance,46
EMP-10019,adi_012025_005,Budget Owner,Budget Management & ROI,18
EMP-10020,adi_012025_003,Campaign Lead,Campaign Execution & Performance,58
EMP-10010,adi_012025_003,Budget Owner,Budget Management & ROI,12
EMP-10020,adi_012025_003,Campaign Lead,Campaign Execution & Performance,44
EMP-10007,adi_012025_003,Budget Owner,Budget Management & ROI,10
EMP-10020,adi_012025_005,Campaign Lead,Campaign Execution & Performance,77
EMP-10022,adi_012025_005,Budget Owner,Budget Management & ROI,14
EMP-10020,adi_012025_003,Campaign Lead,Campaign Execution & Performance,77
EMP-10024,adi_012025_003,Budget Owner,Budget Management & ROI,15
EMP-10024,adi_012025_007,Campaign Lead,Campaign Execution & Performance,41
EMP-10013,adi_012025_007,Budget Owner,Budget Management & ROI,22
EMP-10023,adi_012025_007,Campaign Lead,Campaign Execution & Performance,69
EMP-10013,adi_012025_007,Budget Owner,Budget Management & ROI,25
EMP-10020,adi_012025_001,Campaign Lead,Campaign Execution & Performance,78
EMP-10014,adi_012025_001,Budget Owner,Budget Management & ROI,23
EMP-10017,adi_012025_007,Campaign Lead,Campaign Execution & Performance,49
EMP-10006,adi_012025_007,Budget Owner,Budget Management & ROI,17
EMP-10021,adi_012025_008,Campaign Lead,Campaign Execution & Performance,76
EMP-10006,adi_012025_008,Budget Owner,Budget Management & ROI,24
EMP-10017,adi_012025_008,Campaign Lead,Campaign Execution & Performance,54
EMP-10023,adi_012025_008,Budget Owner,Budget Management & ROI,16
EMP-10021,adi_012025_008,Campaign Lead,Campaign Execution & Performance,74
EMP-10021,adi_022025_009,Campaign Lead,Campaign Execution & Performance,67
EMP-10019,adi_022025_009,Budget Owner,Budget Management & ROI,19
EMP-10020,CMP_022025_017,Campaign Lead,Campaign Execution & Performance,49
