employee_id,skill_id,proficiency_level,years_of_experience
EMP0001,SKILL045,Intermediate,2.2
EMP0001,SKILL034,Intermediate,1.2
EMP0001,SKILL033,Intermediate,5.1
EMP0001,SKILL049,Advanced,4.6
EMP0001,SKILL031,Expert,6.3
EMP0001,SKILL020,Advanced,6.2
EMP0002,SKILL024,Intermediate,2.2
EMP0002,SKILL031,Intermediate,1.4
EMP0002,SKILL033,Beginner,2.5
EMP0002,SKILL045,Advanced,2.7
EMP0002,SKILL049,Beginner,0.5
EMP0002,SKILL035,Beginner,1.4
EMP0002,SKILL034,Beginner,0.9
EMP0002,SKILL020,Advanced,3.5
EMP0002,SKILL029,Beginner,1.8
EMP0003,SKILL034,Expert,4.6
EMP0003,SKILL045,Advanced,7.9
EMP0003,SKILL032,Intermediate,2.7
EMP0003,SKILL029,Beginner,0.7
EMP0003,SKILL024,Advanced,4.6
EMP0003,SKILL027,Advanced,5.3
EMP0003,SKILL023,Intermediate,2.7
EMP0004,SKILL031,Intermediate,2.8
EMP0004,SKILL045,Advanced,3.5
EMP0004,SKILL020,Intermediate,2.8
EMP0004,SKILL035,Beginner,0.7
EMP0004,SKILL029,Advanced,3.8
EMP0005,SKILL023,Expert,6.2
EMP0005,SKILL007,Intermediate,2.8
EMP0005,SKILL045,Advanced,2.8
EMP0005,SKILL014,Intermediate,4.2
EMP0005,SKILL044,Advanced,4.4
EMP0005,SKILL017,Expert,6.1
EMP0005,SKILL003,Expert,6.5
EMP0005,SKILL027,Intermediate,4.5
EMP0005,SKILL021,Expert,6.5
EMP0005,SKILL025,Advanced,6.2
EMP0005,SKILL043,Expert,4.2
EMP0005,SKILL026,Expert,6.3
EMP0006,SKILL045,Expert,8.2
EMP0006,SKILL029,Intermediate,5.9
EMP0006,SKILL038,Expert,4.5
EMP0006,SKILL024,Intermediate,2.6
EMP0006,SKILL039,Advanced,4.6
EMP0007,SKILL020,Beginner,0.7
EMP0007,SKILL038,Intermediate,1.6
EMP0007,SKILL045,Advanced,3.0
EMP0007,SKILL018,Advanced,3.6
EMP0007,SKILL028,Advanced,1.4
EMP0007,SKILL039,Intermediate,1.5
EMP0008,SKILL034,Advanced,4.0
EMP0008,SKILL027,Advanced,4.2
EMP0008,SKILL031,Advanced,4.6
EMP0008,SKILL029,Expert,4.5
EMP0008,SKILL020,Advanced,4.5
EMP0008,SKILL023,Advanced,4.2
EMP0008,SKILL049,Intermediate,3.6
EMP0008,SKILL032,Advanced,3.0
EMP0008,SKILL024,Advanced,1.9
EMP0008,SKILL035,Intermediate,1.0
EMP0008,SKILL045,Advanced,4.4
EMP0008,SKILL033,Beginner,2.6
EMP0009,SKILL029,Intermediate,1.6
EMP0009,SKILL018,Intermediate,1.1
EMP0009,SKILL020,Advanced,7.8
EMP0009,SKILL039,Intermediate,1.6
EMP0009,SKILL045,Intermediate,3.0
EMP0009,SKILL028,Intermediate,1.5
EMP0010,SKILL020,Intermediate,2.7
EMP0010,SKILL035,Expert,5.7
EMP0010,SKILL045,Expert,6.3
EMP0010,SKILL029,Expert,3.6
EMP0010,SKILL024,Intermediate,5.0
EMP0010,SKILL034,Advanced,6.0
EMP0010,SKILL031,Advanced,1.5
EMP0011,SKILL020,Advanced,3.5
EMP0011,SKILL031,Intermediate,2.3
EMP0011,SKILL023,Intermediate,2.0
EMP0011,SKILL029,Beginner,0.8
EMP0011,SKILL032,Expert,3.4
EMP0011,SKILL033,Advanced,1.8
EMP0011,SKILL035,Advanced,3.1
EMP0011,SKILL027,Advanced,3.0
EMP0011,SKILL034,Intermediate,0.9
EMP0011,SKILL024,Advanced,3.1
EMP0012,SKILL026,Intermediate,0.8
EMP0012,SKILL010,Intermediate,2.6
EMP0012,SKILL013,Advanced,2.9
EMP0012,SKILL021,Intermediate,1.7
EMP0012,SKILL003,Intermediate,1.3
EMP0012,SKILL043,Beginner,0.7
EMP0012,SKILL001,Intermediate,2.2
EMP0012,SKILL025,Advanced,2.8
EMP0012,SKILL014,Intermediate,0.5
EMP0013,SKILL023,Expert,6.3
EMP0013,SKILL029,Advanced,4.1
EMP0013,SKILL027,Intermediate,0.8
EMP0013,SKILL032,Expert,7.9
EMP0013,SKILL038,Advanced,7.3
EMP0013,SKILL018,Advanced,1.7
EMP0013,SKILL020,Intermediate,1.6
EMP0013,SKILL039,Intermediate,2.5
EMP0013,SKILL028,Intermediate,2.4
EMP0013,SKILL045,Expert,6.1
EMP0013,SKILL024,Intermediate,1.5
EMP0014,SKILL034,Expert,7.3
EMP0014,SKILL031,Expert,6.9
EMP0014,SKILL020,Advanced,5.6
EMP0014,SKILL033,Expert,6.9
EMP0014,SKILL045,Expert,7.7
EMP0014,SKILL029,Intermediate,1.9
EMP0014,SKILL024,Expert,4.6
EMP0014,SKILL035,Expert,6.0
EMP0015,SKILL020,Expert,6.4
EMP0015,SKILL032,Intermediate,1.2
EMP0015,SKILL029,Intermediate,2.9
EMP0015,SKILL049,Advanced,4.6
EMP0015,SKILL033,Advanced,2.4
EMP0015,SKILL034,Expert,4.6
EMP0015,SKILL023,Beginner,0.7
EMP0015,SKILL027,Beginner,0.7
EMP0015,SKILL045,Advanced,4.9
EMP0016,SKILL034,Intermediate,1.6
EMP0016,SKILL023,Advanced,1.0
EMP0016,SKILL027,Advanced,6.0
EMP0016,SKILL045,Beginner,0.9
EMP0016,SKILL024,Expert,6.0
EMP0017,SKILL007,Expert,8.7
EMP0017,SKILL003,Advanced,4.2
EMP0017,SKILL043,Expert,5.3
EMP0017,SKILL027,Beginner,0.9
EMP0017,SKILL002,Expert,6.8
EMP0018,SKILL008,Advanced,2.4
EMP0018,SKILL045,Intermediate,5.7
EMP0018,SKILL025,Intermediate,4.5
EMP0018,SKILL017,Intermediate,1.2
EMP0018,SKILL010,Intermediate,2.3
EMP0018,SKILL043,Expert,6.5
EMP0019,SKILL002,Intermediate,2.5
EMP0019,SKILL011,Advanced,4.5
EMP0019,SKILL016,Intermediate,2.7
EMP0019,SKILL010,Intermediate,2.2
EMP0019,SKILL025,Advanced,3.5
EMP0019,SKILL006,Expert,4.2
EMP0019,SKILL015,Beginner,1.9
EMP0019,SKILL009,Intermediate,4.5
EMP0019,SKILL003,Advanced,3.5
EMP0019,SKILL045,Advanced,3.2
EMP0020,SKILL032,Intermediate,3.1
EMP0020,SKILL027,Advanced,3.7
EMP0020,SKILL020,Advanced,5.4
EMP0020,SKILL050,Expert,4.2
EMP0020,SKILL023,Advanced,3.7
EMP0020,SKILL045,Advanced,3.8
EMP0020,SKILL038,Advanced,5.4
EMP0020,SKILL028,Advanced,4.7
EMP0020,SKILL018,Beginner,1.5
EMP0020,SKILL039,Intermediate,1.8
EMP0021,SKILL034,Intermediate,2.8
EMP0021,SKILL033,Advanced,8.1
EMP0021,SKILL031,Intermediate,2.9
EMP0021,SKILL035,Advanced,4.7
EMP0021,SKILL024,Beginner,0.7
EMP0021,SKILL032,Advanced,5.4
EMP0021,SKILL045,Advanced,4.4
EMP0021,SKILL029,Advanced,2.8
EMP0021,SKILL023,Advanced,10.0
EMP0021,SKILL020,Beginner,0.6
EMP0021,SKILL027,Intermediate,4.8
EMP0022,SKILL029,Intermediate,1.2
EMP0022,SKILL033,Advanced,5.4
EMP0022,SKILL045,Advanced,7.0
EMP0022,SKILL031,Advanced,4.1
EMP0022,SKILL024,Expert,8.5
EMP0023,SKILL029,Expert,9.4
EMP0023,SKILL027,Expert,6.2
EMP0023,SKILL039,Expert,6.2
EMP0023,SKILL018,Expert,8.7
