invoiceNumber,supplierReference,dateCreated,paymentDueDate,totalPaymentDue,paymentStatus,late_payment_flag,poOrderNumber,glAccount,costCenter,invoiceText,postingDate
INV-2dd52a72,8244489436468,2025-09-03 23:37:30,2025-12-01 23:37:30,64183.88,Approved,False,PO-0d0f5f5a1c,GL-1130,CC-127,Invoice for PO PO-0d0f5f5a1c,2025-09-09 23:37:30
INV-09474c0c,6505644799784,2024-02-18 22:33:55,2024-05-16 22:33:55,48179.07,Paid,False,PO-1369a1da81,GL-1014,CC-105,Invoice for PO PO-1369a1da81,2024-02-26 22:33:55
INV-88e883ca,103650329573,2024-02-20 22:33:55,2024-05-16 22:33:55,49454.68,Received,False,PO-1369a1da81,GL-1006,CC-105,Invoice for PO PO-1369a1da81,2024-02-24 22:33:55
INV-2d780f80,6123237423160,2025-10-15 10:05:37,2025-11-10 10:05:37,9665.52,Approved,False,PO-176cf5a58d,GL-1034,CC-157,Invoice for PO PO-176cf5a58d,2025-10-16 10:05:37
INV-499e2850,1910543563490,2025-10-13 10:05:37,2025-11-10 10:05:37,10837.05,Approved,False,PO-176cf5a58d,GL-1018,CC-157,Invoice for PO PO-176cf5a58d,2025-10-15 10:05:37
INV-8621ac06,6584314830613,2025-10-16 10:05:37,2025-11-10 10:05:37,10004.34,Scheduled for Payment,False,PO-176cf5a58d,GL-1174,CC-157,Invoice for PO PO-176cf5a58d,2025-10-15 10:05:37
INV-bc0ca496,9015572794081,2023-10-30 20:39:56,2023-12-26 20:39:56,112645.7,Overdue,False,PO-27a37ee264,GL-1074,CC-145,Invoice for PO PO-27a37ee264,2023-10-31 20:39:56
INV-4b3bad7a,3601503603919,2023-11-01 20:39:56,2023-12-26 20:39:56,135410.82,Paid,False,PO-27a37ee264,GL-1030,CC-145,Invoice for PO PO-27a37ee264,2023-10-28 20:39:56
INV-30001b32,5852892168161,2025-07-15 15:30:53,2025-08-10 15:30:53,7555.26,Received,False,PO-2cc318dd5e,GL-1183,CC-164,Invoice for PO PO-2cc318dd5e,2025-07-13 15:30:53
INV-5bd87dce,1330006981614,2025-07-16 15:30:53,2025-08-10 15:30:53,6452.11,Received,False,PO-2cc318dd5e,GL-1008,CC-164,Invoice for PO PO-2cc318dd5e,2025-07-19 15:30:53
INV-667cb112,3347439191204,2025-07-14 15:30:53,2025-08-10 15:30:53,6925.92,Received,False,PO-2cc318dd5e,GL-1155,CC-164,Invoice for PO PO-2cc318dd5e,2025-07-20 15:30:53
INV-1c369a69,1754080579992,2024-08-22 08:47:25,2024-09-17 08:47:25,76289.42,Approved,False,PO-3f70020994,GL-1051,CC-135,Invoice for PO PO-3f70020994,2024-08-20 08:47:25
INV-6ce1a253,7314891521296,2025-09-17 09:24:40,2025-11-11 09:24:40,35070.84,Paid,False,PO-45a5535719,GL-1021,CC-172,Invoice for PO PO-45a5535719,2025-09-13 09:24:40
INV-cbdbd779,5268815414862,2024-09-16 14:42:52,2024-10-14 14:42:52,77838.69,Approved,False,PO-5704f3cb83,GL-1046,CC-125,Invoice for PO PO-5704f3cb83,2024-09-21 14:42:52
INV-5984a49b,6310958658371,2025-05-09 11:29:56,2025-08-04 11:29:56,52285.44,Overdue,False,PO-5edea32681,GL-1178,CC-141,Invoice for PO PO-5edea32681,2025-05-16 11:29:56
INV-ce3b7c8b,7517210696679,2025-05-11 11:29:56,2025-08-04 11:29:56,52142.16,Overdue,False,PO-5edea32681,GL-1144,CC-141,Invoice for PO PO-5edea32681,2025-05-12 11:29:56
INV-acec18fa,3540347470311,2025-10-02 14:22:01,2025-11-27 14:22:01,883.1,Paid,False,PO-66ac6806ee,GL-1168,CC-120,Invoice for PO PO-66ac6806ee,2025-10-02 14:22:01
