vendorCode,legalName,address,country,contactPerson,isActive,financialHealth,riskScore
SUP-154dd692,EuroTech Solutions NV,"215 Druart Lane West Martinemouth, MS 45659",Belgium,Marie-José Delacroix,True,Low,0.0
SUP-f23a29b3,TechSupply Solutions GmbH,Budigstraße 357 38232 Paderborn,Germany,Anna Becker,True,Low,15.0
SUP-09b2252b,Empresa Distribuidora de Productos S.A.,"Vial Maximiano Cadenas 2 Puerta 3 Cádiz, 38937",Venezuela,María Elena González Torres,True,Medium,25.0
SUP-5ae46043,Optima Solutions GmbH,Wirthplatz 93-39 70475 Wetzlar,Germany,Anna Müller,True,Low,15.0
SUP-a6ad3c4e,EcoFutur Erittelyt Oy,Kolukatu 5 58075 Jomala,Finland,Mikko Rantanen,True,Low,0.0
SUP-aff7db91,Nordwest-Halbwaren GmbH,Dietmar-Kuhl-Ring 2-9 18469 Belzig,Germany,Helmut Schneider,True,Low,15.0
SUP-f1e94c05,Vertriebsgesellschaft GmbH,Hans-Günther-Röhrdanz-Allee 20/82 80207 Hettstedt,Germany,Anna Müller,True,High,40.0
SUP-9be461f4,Proveedores del Valle,"Calle de Patricia Valencia 781 Cáceres, 08851",Venezuela,María Elena González,True,Medium,25.0
SUP-d9ee32f7,Optima Vertriebs GmbH,Stolzering 9 03136 Genthin,Germany,Max Mustermann,True,Low,15.0
SUP-7c874ae3,Agriculture Moroccon Export,"23, rue de Blot 15505 BaronBourg",Morocco,Salem El-Khatib,True,Low,15.0
SUP-0ad5b00c,Hochwertige Lieferant GmbH,Hornigallee 661 25956 Eisleben,Germany,Marie Schwarz,False,Medium,25.0
SUP-fb469ef4,TechInnovate Solutions GmbH,Hermannplatz 2 72372 Günzburg,Germany,Anna Müller,True,High,40.0
SUP-9ccc86ff,Krško Industrial Supplies d.d.,Tavčarjeva ulica 698 4708 Krško,Slovenia,Janez Novak,True,Low,0.0
SUP-657ae49c,TechNova Industries Pvt Ltd,H.No. 14 Subramaniam Marg North Dumdum-734686,India,Rajesh Kumar,True,Low,30.0
SUP-4bc6d876,Belgian Innovations NV,"60948 Rita Views Apt. 583 Desmetstad, GA 84778",Belgium,Martijn Janssen,True,Low,0.0
SUP-5d1146c8,Fábrica Nacional de Produtos Especiais,"Praça de Lopes, 450 2510-486 Mirandela",Portugal,Maria dos Santos Oliveira,True,Medium,10.0
SUP-34c21a15,Calauer Bauunternehmen GmbH,Gierschnerstr. 1 95179 Calau,Germany,Anna Schmid,True,Low,15.0
SUP-122f9bcf,Tech Innovations GmbH,Bährstraße 7/2 60696 Kulmbach,Germany,Anna Müller,True,Low,15.0
SUP-1de8ee68,Mellrichstadt Industrial Supplies GmbH,Handeweg 154 53089 Mellrichstadt,Germany,Anna Schmidt,True,Low,15.0
SUP-4ec4e9dc,Équipement Premium SARL,"22, boulevard de Lefebvre 17642 Dupuy",France,Jean-Pierre Dubois,True,Low,0.0
SUP-a1b769f6,TechSupply GmbH,Lübsstraße 8-7 19618 Peine,Germany,Anna Müller,True,Low,15.0
SUP-fbd94e2f,Hochwertige Lieferant GmbH,Friederike-Klapp-Ring 24-98 43805 Rottweil,Germany,Friederike Klapp-Ring,True,Medium,25.0
SUP-9d604aae,Hersteltechnik GmbH,Pechelgasse 9-4 91963 Holzminden,Germany,Anna Schmitt,True,High,40.0
SUP-f90572fe,Agricola Natura Srl,"Contrada Sabatini, 83 09079, Tresnuraghes (OR)",Italy,Maria Antonietta Rossi,True,Low,0.0
SUP-9f4c8b97,Herzog & Söhne GmbH,Svea-Liebelt-Platz 60-75 45346 Werdau,Germany,Greta Meier,True,Low,15.0
SUP-4f08dfa6,Croatian Export Solutions d.o.o.,Svibovac 2c 60845 Senj,Croatia,Marko Petrovic,True,Low,0.0
SUP-804a3fff,Nigerian Precision Components Ltd.,"45307 Chukwu Points Apt. 316 South Joshua, IL 14190",Nigeria,Osinachi Emmanuel,True,Medium,40.0
SUP-ee9bcb83,Proveedores Venezolanos S.A.,"Acceso de Marcela Ángel 693 Teruel, 14074",Venezuela,Marcela Ángel,True,Low,15.0
SUP-06835418,Hersteltechnik GmbH,Ilona-Schenk-Ring 58/22 76010 Delitzsch,Germany,Ewald Braun,True,Low,15.0
SUP-587182ce,EcoSupply GmbH,Leyla-Jessel-Gasse 13-76 10284 Kemnath,Germany,Lars Müller,True,Low,15.0
SUP-340ae111,Sri Lanka Agricultural Supplies Pvt Ltd,"26905 Wells Underpass Braunfurt, IL 54707",Sri Lanka,Ranil Senanayake,True,High,40.0
SUP-ca5ec489,OptiTech Solutions GmbH,Astrid-Keudel-Platz 555 39379 Cloppenburg,Germany,Hans-David Müller,True,Low,15.0
SUP-c2a5676a,Højre-Industri ApS,Steinsgade 347 1972 Brovst,Denmark,Lars Madsen,True,Low,0.0
SUP-470b7c4e,Estonian Precision Components,"2486 Mihkel Forges Peeterburgh, DE 06940",Estonia,Andrea Kurbjuun,True,Low,0.0
SUP-cab4b7f2,Eco-Friendly Solutions GmbH,Monique-Baum-Weg 29-13 22183 Kamenz,Germany,Max Mustermann,False,Medium,25.0
SUP-6fd9b4a6,Harvest Solutions Inc.,"32780 Gallagher Mall Port Emilyfort, NS N7R 8G1",Canada,Emily Thompson,True,Medium,10.0
SUP-98ddc5bb,Optima Supply GmbH,Stadelmannweg 41/52 98026 Bruchsal,Germany,Anna Müller,True,Low,15.0
SUP-09be9878,TechSupply Solutions GmbH,Bolanderplatz 3-4 84589 Fürstenfeldbruck,Germany,Anna Müller,True,Medium,25.0
SUP-c2b881af,Δημοσίου Παναθαιναϊκός Δημοσιοτήτων,"Παραλίου Άστρους 51, 76101 Ηράκλειο",Greece,Γεώργιος Μπάκος,True,High,25.0
SUP-963dd8a4,Agricultura Moderna S.A.,"Bulevardul Niță Nr. 14 Insuratei, 722278",Romania,Ana Maria Popescu,True,Low,0.0
SUP-8a6fa90f,Hersteller GmbH,Roskothallee 2-2 45905 Görlitz,Germany,Anna Müller,True,Low,15.0
SUP-7f4fa930,Metz Supplies GmbH,Maurice-Metz-Allee 2-1 78913 Saarbrücken,Germany,Anna Schmidt,True,Low,15.0
SUP-1f6b4735,Mittelmeerpresse GmbH,Mohauptgasse 5-5 07555 Meppen,Germany,Anna Becker,True,High,40.0
SUP-2c37132c,Supplizität GmbH,Lia-Wende-Weg 9-7 39897 Sebnitz,Germany,Hans-Jürgen Schneider,True,Low,15.0
SUP-f7052c42,OptiMech Technologie GmbH,Schlosserplatz 4/1 37608 Neu-Ulm,Germany,Thomas Müller,True,Low,15.0
SUP-068fb3c1,Suprimentos EcoSoluções LTDA,"Setor Dante Nogueira, 92 Palmeiras 01494-313 Almeida / MT",Brazil,Maria do Socorro Silva,True,Low,15.0
SUP-d8ddf706,Bavarian Harvest Supplies GmbH,Heinz-Gerd-Adolph-Allee 8048 97462 Northeim,Germany,Margarete Bauer,True,Low,15.0
SUP-90d82a36,ForestTech Supplies GmbH,Schollring 8/7 73756 Neustadtner Waldnaab,Germany,Anna Becker,True,High,40.0
SUP-075e9bbb,华鲸国际物流有限公司,澳门特别行政区晨市海港向路N座 443448,China,李明达,True,Low,40.0
SUP-f1d17ae6,Suppliers & Distributors Chile Ltda,"Av. Los Higos 147 Dpto. 70 Santa María, Región de Valparaíso",Chile,Fernando Ramírez,True,High,40.0
SUP-4e740d5a,Eco-Friendly Solutions GmbH,Mattias-Mosemann-Platz 20-37 84791 Kleve,Germany,Anna Musterfrau,True,Medium,25.0
SUP-3b07b7de,TechSupply GmbH,Erik-Haering-Ring 23/88 70596 Lippstadt,Germany,Anna Müller,True,Medium,25.0
